month,start_bank,end_bank
2023-01,1000,1032404
2023-02,1032404,2850907
2023-03,2850907,4127198
2023-04,4127198,5583339
2023-05,5583339,6625241
2023-06,6625241,8003443
2023-07,8003443,9292132
2023-08,9292132,10481544
2023-09,10481544,11213343
2023-10,11213343,12180461
2023-11,12180461,12962773
2023-12,12962773,13416939
2024-01,13416939,14043363
2024-02,14043363,14974682
2024-03,14974682,15735597
2024-04,15735597,16514387
2024-05,16514387,17283721
2024-06,17283721,18801947
2024-07,18801947,20322848
2024-08,20322848,21150836
2024-09,21150836,21917854
2024-10,21917854,22479432
2024-11,22479432,23495398
2024-12,23495398,23958341
2025-01,23958341,25094658
2025-02,25094658,25998753
2025-03,25998753,27017844
2025-04,27017844,28258972
2025-05,28258972,29278621
2025-06,29278621,30213762
2025-07,30213762,30902686
2025-08,30902686,31636647
2025-09,31636647,31612822
2025-10,31612822,31049458
2025-11,31049458,31133705
